Date;Time;Timestamp;PM2_5(ug/m3);AQI(US);AQI(CN);PM10(ug/m3);Outdoor AQI(US);Outdoor AQI(CN);Temperature(C);Temperature(F);Humidity(%RH);CO2(ppm);VOC(ppb)
2022/08/01;10:33:20;1659350000;12.0;50;17;82.0;0;0;21.0;69.8;57;519;-1
2022/08/01;10:33:30;1659350010;1798.8;1358;1357;2000.0;0;0;21.0;69.8;57;610;-1
2022/08/01;10:33:40;1659350020;1798.8;1358;1357;2000.0;0;0;21.1;70.0;60;656;-1
2022/08/01;10:33:50;1659350030;1798.8;1358;1357;2000.0;0;0;21.1;70.0;60;793;-1
2022/08/01;11:01:09;1659351669;2.0;8;3;2.0;0;0;19.5;67.1;58;350;-1
2022/08/01;11:01:19;1659351679;1.0;4;1;1.0;0;0;19.5;67.1;58;404;-1
2022/08/01;11:01:29;1659351689;1.0;4;1;4.0;0;0;19.5;67.1;58;395;-1
2022/08/01;11:01:39;1659351699;1.0;4;1;8.0;0;0;19.5;67.1;58;398;-1
2022/08/01;11:01:49;1659351709;1.0;4;1;12.0;0;0;19.5;67.1;58;397;-1
2022/08/01;11:01:59;1659351719;1.0;4;1;17.0;0;0;19.5;67.0;58;401;-1
2022/08/01;11:02:09;1659351729;1.0;4;1;17.0;0;0;19.5;67.0;58;400;-1
2022/08/01;11:02:19;1659351739;1.0;4;1;17.0;0;0;19.5;67.0;58;404;-1
2022/08/01;11:02:29;1659351749;1.0;4;1;9.0;0;0;19.4;67.0;58;409;-1
2022/08/01;11:02:39;1659351759;1.0;4;1;9.0;0;0;19.4;67.0;58;416;-1
2022/08/01;11:02:49;1659351769;1.0;4;1;4.0;0;0;19.4;67.0;58;422;-1
2022/08/01;11:02:59;1659351779;1.0;4;1;4.0;0;0;19.4;67.0;59;430;-1
2022/08/01;11:03:09;1659351789;1.0;4;1;1.0;0;0;19.4;67.0;59;434;-1
2022/08/01;11:03:19;1659351799;1.0;4;1;9.0;0;0;19.4;67.0;59;438;-1
2022/08/01;11:03:29;1659351809;1.0;4;1;20.0;0;0;19.4;67.0;59;440;-1
2022/08/01;11:03:39;1659351819;1.0;4;1;20.0;0;0;19.4;67.0;59;441;-1
2022/08/01;11:03:49;1659351829;1.0;4;1;12.0;0;0;19.4;67.0;59;442;-1
2022/08/01;11:03:59;1659351839;1.0;4;1;1.0;0;0;19.4;67.0;59;442;-1
2022/08/01;11:04:09;1659351849;2.0;8;3;2.0;0;0;19.4;67.0;59;441;-1
2022/08/01;11:04:19;1659351859;2.0;8;3;2.0;0;0;19.4;67.0;59;439;-1
2022/08/01;11:04:29;1659351869;1.0;4;1;9.0;0;0;19.4;67.0;59;439;-1
2022/08/01;11:04:39;1659351879;1.0;4;1;9.0;0;0;19.4;67.0;59;439;-1
2022/08/01;11:04:49;1659351889;2.0;8;3;10.0;0;0;19.4;67.0;59;437;-1
2022/08/01;11:04:59;1659351899;2.0;8;3;10.0;0;0;19.4;67.0;59;436;-1
2022/08/01;11:05:09;1659351909;2.0;8;3;10.0;0;0;19.4;67.0;59;435;-1
2022/08/01;11:05:19;1659351919;2.0;8;3;10.0;0;0;19.4;67.0;59;433;-1
