Date;Time;Timestamp;PM2_5(ug/m3);AQI(US);AQI(CN);PM10(ug/m3);Outdoor AQI(US);Outdoor AQI(CN);Temperature(C);Temperature(F);Humidity(%RH);CO2(ppm);VOC(ppb)
2022/05/30;12:17:13;1653913033;1.0;4;1;1.0;0;0;20.0;67.9;46;350;-1
2022/05/30;12:17:23;1653913043;3.0;13;4;10.0;0;0;20.0;67.9;46;527;-1
2022/05/30;12:17:33;1653913053;3.0;13;4;10.0;0;0;20.0;68.0;46;509;-1
2022/05/30;12:17:43;1653913063;3.0;13;4;14.0;0;0;20.0;68.0;46;515;-1
2022/05/30;12:17:53;1653913073;2.0;8;3;17.0;0;0;20.0;68.0;46;512;-1
2022/05/30;12:18:03;1653913083;2.0;8;3;13.0;0;0;20.0;68.0;46;535;-1
2022/05/30;12:18:13;1653913093;3.0;13;4;10.0;0;0;20.0;68.0;46;536;-1
2022/05/30;12:18:23;1653913103;3.0;13;4;18.0;0;0;20.0;68.0;46;540;-1
2022/05/30;12:18:33;1653913113;2.0;8;3;17.0;0;0;20.0;68.1;47;544;-1
2022/05/30;12:18:43;1653913123;2.0;8;3;17.0;0;0;20.0;68.1;47;546;-1
2022/05/30;12:18:53;1653913133;2.0;8;3;5.0;0;0;20.0;68.1;47;546;-1
2022/05/30;12:19:03;1653913143;2.0;8;3;5.0;0;0;20.1;68.1;47;544;-1
2022/05/30;12:19:13;1653913153;2.0;8;3;9.0;0;0;20.1;68.1;47;542;-1
2022/05/30;12:19:23;1653913163;2.0;8;3;9.0;0;0;20.1;68.1;47;539;-1
2022/05/30;12:19:33;1653913173;2.0;8;3;9.0;0;0;20.1;68.1;47;537;-1
2022/05/30;12:19:43;1653913183;2.0;8;3;5.0;0;0;20.1;68.1;47;535;-1
2022/05/30;12:19:53;1653913193;3.0;13;4;6.0;0;0;20.1;68.1;47;533;-1
2022/05/30;12:20:03;1653913203;3.0;13;4;10.0;0;0;20.1;68.1;47;529;-1
2022/05/30;12:20:13;1653913213;3.0;13;4;10.0;0;0;20.1;68.1;47;525;-1
2022/05/30;12:20:23;1653913223;2.0;8;3;5.0;0;0;20.1;68.1;47;519;-1
2022/05/30;12:20:33;1653913233;2.0;8;3;2.0;0;0;20.1;68.2;47;515;-1
2022/05/30;12:20:43;1653913243;2.0;8;3;2.0;0;0;20.1;68.2;47;509;-1
2022/05/30;12:20:53;1653913253;2.0;8;3;5.0;0;0;20.1;68.2;47;506;-1
2022/05/30;12:21:03;1653913263;2.0;8;3;10.0;0;0;20.1;68.2;47;498;-1
2022/05/30;12:21:13;1653913273;2.0;8;3;13.0;0;0;20.1;68.2;47;495;-1
2022/05/30;12:21:23;1653913283;2.0;8;3;13.0;0;0;20.1;68.2;47;493;-1
2022/05/30;12:21:33;1653913293;2.0;8;3;10.0;0;0;20.1;68.2;47;492;-1
2022/05/30;12:21:43;1653913303;2.0;8;3;5.0;0;0;20.1;68.2;47;487;-1
2022/05/30;12:21:53;1653913313;2.0;8;3;2.0;0;0;20.1;68.2;47;483;-1
2022/05/30;12:22:03;1653913323;2.0;8;3;2.0;0;0;20.2;68.3;47;478;-1
2022/05/30;12:22:13;1653913333;2.0;8;3;5.0;0;0;20.2;68.3;47;475;-1
2022/05/30;12:22:23;1653913343;2.0;8;3;10.0;0;0;20.2;68.3;47;470;-1
2022/05/30;12:22:33;1653913353;2.0;8;3;10.0;0;0;20.2;68.3;47;467;-1
2022/05/30;12:22:43;1653913363;1.0;4;1;4.0;0;0;20.2;68.3;47;464;-1
2022/05/30;12:22:53;1653913373;2.0;8;3;5.0;0;0;20.2;68.3;47;461;-1
2022/05/30;12:23:03;1653913383;2.0;8;3;5.0;0;0;20.2;68.4;47;457;-1
2022/05/30;12:23:13;1653913393;2.0;8;3;18.0;0;0;20.2;68.4;47;454;-1
2022/05/30;12:23:23;1653913403;2.0;8;3;18.0;0;0;20.2;68.4;47;452;-1
2022/05/30;12:23:33;1653913413;2.0;8;3;22.0;0;0;20.2;68.4;47;450;-1
2022/05/30;12:23:43;1653913423;2.0;8;3;10.0;0;0;20.2;68.4;47;449;-1
2022/05/30;12:23:53;1653913433;2.0;8;3;5.0;0;0;20.2;68.4;47;449;-1
2022/05/30;12:24:03;1653913443;2.0;8;3;2.0;0;0;20.2;68.4;49;448;-1
2022/05/30;12:24:13;1653913453;2.0;8;3;2.0;0;0;20.2;68.4;49;448;-1
2022/05/30;12:24:23;1653913463;2.0;8;3;2.0;0;0;20.2;68.4;49;447;-1
2022/05/30;12:24:33;1653913473;2.0;8;3;2.0;0;0;20.3;68.5;49;446;-1
2022/05/30;12:24:43;1653913483;2.0;8;3;2.0;0;0;20.3;68.5;49;446;-1
2022/05/30;12:24:53;1653913493;2.0;8;3;2.0;0;0;20.3;68.5;49;446;-1
2022/05/30;12:25:03;1653913503;2.0;8;3;2.0;0;0;20.3;68.5;47;445;-1
2022/05/30;12:25:13;1653913513;2.0;8;3;5.0;0;0;20.3;68.5;47;445;-1
2022/05/30;12:25:23;1653913523;2.0;8;3;10.0;0;0;20.3;68.5;47;445;-1
2022/05/30;12:25:33;1653913533;2.0;8;3;10.0;0;0;20.3;68.5;47;445;-1
2022/05/30;12:25:43;1653913543;2.0;8;3;14.0;0;0;20.3;68.5;47;445;-1
2022/05/30;12:25:53;1653913553;2.0;8;3;10.0;0;0;20.3;68.5;47;445;-1
2022/05/30;12:26:03;1653913563;3.0;13;4;11.0;0;0;20.3;68.6;48;444;-1
2022/05/30;12:26:13;1653913573;3.0;13;4;6.0;0;0;20.3;68.6;48;445;-1
2022/05/30;12:26:23;1653913583;2.0;8;3;5.0;0;0;20.3;68.6;48;446;-1
2022/05/30;12:26:33;1653913593;2.0;8;3;10.0;0;0;20.3;68.6;48;447;-1
2022/05/30;12:26:43;1653913603;2.0;8;3;5.0;0;0;20.3;68.6;48;447;-1
2022/05/30;12:26:53;1653913613;2.0;8;3;10.0;0;0;20.3;68.6;48;447;-1
