Date;Time;Timestamp;PM2_5(ug/m3);AQI(US);AQI(CN);PM10(ug/m3);PM1(ug/m3);Outdoor AQI(US);Outdoor AQI(CN);Temperature(C);Temperature(F);Humidity(%RH);CO2(ppm)
2022/07/06;15:10:06;1657120206;3.0;13;4;4.0;1.0;0;0;21.9;71.4;60;350;
2022/07/06;15:10:16;1657120216;2.0;8;3;2.0;0.0;0;0;21.9;71.4;60;721;
2022/07/06;15:10:26;1657120226;3.0;13;4;3.0;1.0;0;0;21.9;71.4;60;694;
2022/07/06;15:10:36;1657120236;2.0;8;3;2.0;0.0;0;0;21.9;71.4;60;672;
2022/07/06;15:10:46;1657120246;2.0;8;3;2.0;0.0;0;0;21.9;71.4;60;645;
2022/07/06;15:10:56;1657120256;2.0;8;3;2.0;0.0;0;0;21.9;71.4;60;641;
2022/07/06;15:11:06;1657120266;2.0;8;3;2.0;0.0;0;0;21.9;71.4;60;632;
2022/07/06;15:11:16;1657120276;2.0;8;3;2.0;0.0;0;0;21.9;71.4;60;623;
2022/07/06;15:11:26;1657120286;2.0;8;3;2.0;0.0;0;0;21.9;71.4;60;612;
2022/07/06;15:11:36;1657120296;2.0;8;3;2.0;0.0;0;0;21.9;71.4;60;601;
2022/07/06;15:11:46;1657120306;2.0;8;3;2.0;0.0;0;0;21.9;71.4;60;583;
2022/07/06;15:11:56;1657120316;3.0;13;4;3.0;1.0;0;0;21.9;71.4;60;571;
2022/07/06;15:12:06;1657120326;3.0;13;4;3.0;1.0;0;0;21.9;71.4;60;558;
2022/07/06;15:11:42;1657120302;3.0;13;4;3.0;1.0;19;7;21.9;71.4;60;553;
2022/07/06;15:11:52;1657120312;2.0;8;3;2.0;0.0;19;7;21.9;71.4;60;549;
2022/07/06;15:12:02;1657120322;2.0;8;3;2.0;0.0;19;7;21.9;71.4;60;549;
2022/07/06;15:12:12;1657120332;2.0;8;3;2.0;0.0;19;7;22.2;72.0;60;547;
2022/07/06;15:12:22;1657120342;2.0;8;3;2.0;0.0;19;7;22.2;72.0;60;546;
2022/07/06;15:12:32;1657120352;2.0;8;3;2.0;0.0;19;7;22.2;72.0;60;544;
2022/07/06;15:12:42;1657120362;2.0;8;3;2.0;0.0;19;7;22.2;72.0;60;542;
2022/07/06;15:12:52;1657120372;2.0;8;3;2.0;0.0;19;7;22.2;72.0;60;541;
2022/07/22;12:09:34;1658491774;4.0;17;6;4.0;2.0;0;0;20.4;68.7;60;350;
2022/07/22;12:09:44;1658491784;4.0;17;6;5.0;2.0;0;0;20.4;68.7;60;450;
2022/07/22;12:09:54;1658491794;3.0;13;4;4.0;1.0;0;0;20.4;68.7;60;444;
2022/07/22;12:10:04;1658491804;4.0;17;6;5.0;2.0;0;0;20.4;68.7;60;433;
2022/07/22;12:10:14;1658491814;4.0;17;6;5.0;2.0;0;0;20.4;68.7;60;430;
2022/07/22;12:10:43;1658491843;2.0;8;3;3.0;0.0;0;0;20.3;68.5;62;440;
2022/07/22;12:10:53;1658491853;4.0;17;6;6.0;2.0;0;0;20.3;68.5;62;442;
2022/07/22;12:11:03;1658491863;4.0;17;6;7.0;2.0;0;0;20.3;68.5;62;444;
2022/07/22;12:11:13;1658491873;5.0;21;7;9.0;3.0;0;0;20.3;68.5;62;445;
2022/07/22;12:11:23;1658491883;5.0;21;7;9.0;3.0;0;0;20.3;68.5;62;447;
2022/07/22;12:11:33;1658491893;5.0;21;7;9.0;3.0;0;0;20.3;68.5;62;451;
2022/07/22;12:11:43;1658491903;5.0;21;7;10.0;3.0;0;0;20.3;68.6;62;454;
2022/07/22;12:11:53;1658491913;5.0;21;7;9.0;3.0;0;0;20.3;68.6;62;459;
2022/07/22;12:12:03;1658491923;4.0;17;6;8.0;2.0;0;0;20.3;68.6;62;462;
2022/07/22;12:12:13;1658491933;3.0;13;4;7.0;1.0;0;0;20.4;68.7;62;465;
2022/07/22;12:12:23;1658491943;2.0;8;3;5.0;0.0;0;0;20.4;68.7;62;464;
2022/07/22;12:12:33;1658491953;1.0;4;1;3.0;0.0;0;0;20.4;68.7;62;463;
2022/07/22;12:12:43;1658491963;2.0;8;3;4.0;0.0;0;0;20.5;68.9;62;460;
2022/07/22;12:12:53;1658491973;2.0;8;3;4.0;0.0;0;0;20.5;68.9;62;458;
2022/07/22;12:13:03;1658491983;3.0;13;4;5.0;1.0;0;0;20.5;68.9;62;457;
2022/07/22;12:13:13;1658491993;3.0;13;4;4.0;1.0;0;0;20.6;69.1;60;456;
2022/07/22;12:13:23;1658492003;3.0;13;4;4.0;1.0;0;0;20.6;69.1;60;454;
2022/07/22;12:13:33;1658492013;2.0;8;3;3.0;0.0;0;0;20.6;69.1;60;454;
2022/07/22;12:13:43;1658492023;2.0;8;3;3.0;0.0;0;0;20.7;69.3;60;453;
2022/07/22;12:13:53;1658492033;3.0;13;4;3.0;1.0;0;0;20.7;69.3;60;453;
2022/07/22;12:14:03;1658492043;3.0;13;4;4.0;1.0;0;0;20.7;69.3;60;452;
