Date;Time;Timestamp;PM2_5(ug/m3);AQI(US);AQI(CN);PM10(ug/m3);PM1(ug/m3);Outdoor AQI(US);Outdoor AQI(CN);Temperature(C);Temperature(F);Humidity(%RH);CO2(ppm)
2022/08/01;10:33:00;1659349980;2.0;8;3;5.0;0.0;0;0;21.3;70.4;54;350;
2022/08/01;10:33:10;1659349990;1.0;4;1;2.0;0.0;0;0;21.3;70.4;54;511;
2022/08/01;10:33:20;1659350000;2.0;8;3;5.0;0.0;0;0;21.4;70.6;55;507;
2022/08/01;10:33:30;1659350010;2.0;8;3;5.0;0.0;0;0;21.4;70.6;55;517;
2022/08/01;10:33:40;1659350020;1.0;4;1;4.0;0.0;0;0;21.4;70.6;55;527;
2022/08/01;10:33:50;1659350030;1.0;4;1;2.0;0.0;0;0;21.5;70.8;54;551;
2022/08/01;10:34:00;1659350040;1.0;4;1;1.0;0.0;0;0;21.5;70.8;54;724;
2022/08/01;11:01:19;1659351679;0.0;0;0;0.0;0.0;0;0;20.4;68.7;57;350;
2022/08/01;11:01:29;1659351689;0.0;0;0;0.0;0.0;0;0;20.4;68.7;57;441;
2022/08/01;11:01:39;1659351699;0.0;0;0;0.0;0.0;0;0;20.4;68.6;57;446;
2022/08/01;11:01:49;1659351709;0.0;0;0;0.0;0.0;0;0;20.4;68.6;57;448;
2022/08/01;11:01:59;1659351719;0.0;0;0;0.0;0.0;0;0;20.4;68.6;57;469;
2022/08/01;11:02:09;1659351729;0.0;0;0;0.0;0.0;0;0;20.4;68.7;57;471;
2022/08/01;11:02:19;1659351739;1.0;4;1;1.0;0.0;0;0;20.4;68.7;57;474;
2022/08/01;11:02:29;1659351749;1.0;4;1;1.0;0.0;0;0;20.4;68.7;57;477;
2022/08/01;11:02:39;1659351759;1.0;4;1;1.0;0.0;0;0;20.4;68.6;57;484;
2022/08/01;11:02:49;1659351769;1.0;4;1;1.0;0.0;0;0;20.4;68.6;57;490;
2022/08/01;11:02:59;1659351779;1.0;4;1;1.0;0.0;0;0;20.4;68.6;57;497;
2022/08/01;11:03:09;1659351789;1.0;4;1;1.0;0.0;0;0;20.3;68.6;57;506;
2022/08/01;11:03:19;1659351799;1.0;4;1;1.0;0.0;0;0;20.3;68.6;57;526;
2022/08/01;11:03:29;1659351809;1.0;4;1;1.0;0.0;0;0;20.3;68.6;57;537;
2022/08/01;11:03:39;1659351819;0.0;0;0;0.0;0.0;0;0;20.3;68.6;58;550;
2022/08/01;11:03:49;1659351829;1.0;4;1;1.0;0.0;0;0;20.3;68.6;58;559;
2022/08/01;11:03:59;1659351839;1.0;4;1;1.0;0.0;0;0;20.3;68.6;58;564;
2022/08/01;11:04:09;1659351849;1.0;4;1;1.0;0.0;0;0;20.3;68.6;58;563;
2022/08/01;11:04:19;1659351859;0.0;0;0;0.0;0.0;0;0;20.3;68.6;58;560;
2022/08/01;11:04:29;1659351869;0.0;0;0;0.0;0.0;0;0;20.3;68.6;58;556;
2022/08/01;11:04:39;1659351879;0.0;0;0;0.0;0.0;0;0;20.3;68.6;58;549;
2022/08/01;11:04:49;1659351889;1.0;4;1;1.0;0.0;0;0;20.3;68.6;58;543;
2022/08/01;11:04:59;1659351899;1.0;4;1;1.0;0.0;0;0;20.3;68.6;58;537;
2022/08/01;11:05:09;1659351909;1.0;4;1;1.0;0.0;0;0;20.3;68.6;58;528;
2022/08/01;11:05:19;1659351919;1.0;4;1;1.0;0.0;0;0;20.3;68.6;58;522;
2022/08/01;11:05:29;1659351929;1.0;4;1;1.0;0.0;0;0;20.3;68.6;58;517;
2022/08/01;11:05:39;1659351939;1.0;4;1;1.0;0.0;0;0;20.3;68.5;58;514;
2022/08/01;11:05:49;1659351949;1.0;4;1;1.0;0.0;0;0;20.3;68.5;58;518;
2022/08/01;11:05:59;1659351959;1.0;4;1;1.0;0.0;0;0;20.3;68.5;58;520;
2022/08/01;11:06:09;1659351969;1.0;4;1;1.0;0.0;0;0;20.3;68.5;59;526;
2022/08/01;11:06:19;1659351979;0.0;0;0;0.0;0.0;0;0;20.3;68.5;59;532;
2022/08/01;11:06:29;1659351989;0.0;0;0;0.0;0.0;0;0;20.3;68.5;59;540;
2022/08/01;11:06:39;1659351999;0.0;0;0;0.0;0.0;0;0;20.3;68.5;59;544;
2022/08/01;11:06:49;1659352009;1.0;4;1;1.0;0.0;0;0;20.3;68.5;59;547;
2022/08/01;11:06:59;1659352019;1.0;4;1;1.0;0.0;0;0;20.3;68.5;59;547;
2022/08/01;11:07:09;1659352029;1.0;4;1;1.0;0.0;0;0;20.3;68.6;59;546;
2022/08/01;11:07:19;1659352039;0.0;0;0;0.0;0.0;0;0;20.3;68.6;59;544;
2022/08/01;11:07:29;1659352049;0.0;0;0;0.0;0.0;0;0;20.3;68.6;59;539;
2022/08/01;11:07:39;1659352059;0.0;0;0;0.0;0.0;0;0;20.3;68.6;59;535;
2022/08/01;11:07:49;1659352069;0.0;0;0;0.0;0.0;0;0;20.3;68.6;59;529;
2022/08/01;11:07:59;1659352079;0.0;0;0;0.0;0.0;0;0;20.3;68.6;59;526;
2022/08/01;11:08:09;1659352089;1.0;4;1;1.0;0.0;0;0;20.3;68.5;59;524;
2022/08/01;11:08:19;1659352099;1.0;4;1;1.0;0.0;0;0;20.3;68.5;59;522;
2022/08/01;11:08:29;1659352109;1.0;4;1;1.0;0.0;0;0;20.3;68.5;59;520;
2022/08/01;11:08:39;1659352119;1.0;4;1;1.0;0.0;0;0;20.3;68.6;59;517;
2022/08/01;11:08:49;1659352129;1.0;4;1;1.0;0.0;0;0;20.3;68.6;59;516;
2022/08/01;11:08:59;1659352139;1.0;4;1;1.0;0.0;0;0;20.3;68.6;59;515;
2022/08/01;11:09:09;1659352149;1.0;4;1;1.0;0.0;0;0;20.3;68.6;60;515;
2022/08/01;11:09:19;1659352159;1.0;4;1;1.0;0.0;0;0;20.3;68.6;60;516;
2022/08/01;11:09:29;1659352169;1.0;4;1;1.0;0.0;0;0;20.3;68.6;60;518;
2022/08/01;11:09:39;1659352179;1.0;4;1;1.0;0.0;0;0;20.3;68.6;60;519;
2022/08/01;11:09:49;1659352189;0.0;0;0;0.0;0.0;0;0;20.3;68.6;60;520;
2022/08/01;11:09:59;1659352199;0.0;0;0;0.0;0.0;0;0;20.3;68.6;60;523;
2022/08/01;11:10:09;1659352209;0.0;0;0;0.0;0.0;0;0;20.3;68.6;60;526;
2022/08/01;11:10:19;1659352219;4.0;17;6;4.0;1.0;0;0;20.3;68.6;60;528;
2022/08/01;11:10:29;1659352229;1.0;4;1;1.0;0.0;0;0;20.3;68.6;60;536;
2022/08/01;11:10:39;1659352239;1.0;4;1;1.0;0.0;0;0;20.3;68.6;62;542;
2022/08/01;11:10:49;1659352249;1.0;4;1;1.0;0.0;0;0;20.3;68.6;62;549;
2022/08/01;11:10:59;1659352259;1.0;4;1;1.0;0.0;0;0;20.3;68.6;62;558;
2022/08/01;11:11:09;1659352269;1.0;4;1;1.0;0.0;0;0;20.3;68.6;62;562;
2022/08/01;11:11:19;1659352279;1.0;4;1;1.0;0.0;0;0;20.3;68.6;62;567;
2022/08/01;11:11:29;1659352289;0.0;0;0;0.0;0.0;0;0;20.3;68.6;62;568;
2022/08/01;11:11:39;1659352299;1.0;4;1;1.0;0.0;0;0;20.4;68.7;62;569;
2022/08/01;11:11:49;1659352309;1.0;4;1;1.0;0.0;0;0;20.4;68.7;62;569;
2022/08/01;11:11:59;1659352319;1.0;4;1;1.0;0.0;0;0;20.4;68.7;62;566;
2022/08/01;11:12:09;1659352329;1.0;4;1;1.0;0.0;0;0;20.4;68.7;62;565;
2022/08/01;11:12:19;1659352339;1.0;4;1;1.0;0.0;0;0;20.4;68.7;62;563;
2022/08/01;11:12:29;1659352349;1.0;4;1;1.0;0.0;0;0;20.4;68.7;62;564;
2022/08/01;11:12:39;1659352359;1.0;4;1;1.0;0.0;0;0;20.4;68.6;62;564;
2022/08/01;11:12:49;1659352369;1.0;4;1;1.0;0.0;0;0;20.4;68.6;62;564;
2022/08/01;11:12:59;1659352379;1.0;4;1;1.0;0.0;0;0;20.4;68.6;62;563;
2022/08/01;11:13:09;1659352389;1.0;4;1;1.0;0.0;0;0;20.4;68.7;62;560;
2022/08/01;11:13:19;1659352399;0.0;0;0;0.0;0.0;0;0;20.4;68.7;62;553;
2022/08/01;11:13:29;1659352409;0.0;0;0;0.0;0.0;0;0;20.4;68.7;62;549;
2022/08/01;11:13:39;1659352419;0.0;0;0;0.0;0.0;0;0;20.4;68.7;62;542;
2022/08/01;11:13:49;1659352429;1.0;4;1;1.0;0.0;0;0;20.4;68.7;62;537;
2022/08/01;11:13:59;1659352439;1.0;4;1;1.0;0.0;0;0;20.4;68.7;62;528;
2022/08/01;11:14:09;1659352449;1.0;4;1;1.0;0.0;0;0;20.4;68.7;62;523;
2022/08/01;11:14:19;1659352459;1.0;4;1;1.0;0.0;0;0;20.4;68.7;62;515;
2022/08/01;11:14:29;1659352469;0.0;0;0;0.0;0.0;0;0;20.4;68.7;62;510;
2022/08/01;11:14:39;1659352479;0.0;0;0;0.0;0.0;0;0;20.4;68.7;62;503;
2022/08/01;11:14:49;1659352489;0.0;0;0;0.0;0.0;0;0;20.4;68.7;62;499;
2022/08/01;11:14:59;1659352499;0.0;0;0;0.0;0.0;0;0;20.4;68.7;62;494;
2022/08/01;11:15:09;1659352509;0.0;0;0;0.0;0.0;0;0;20.4;68.7;62;490;
2022/08/01;11:15:19;1659352519;0.0;0;0;0.0;0.0;0;0;20.4;68.7;62;485;
2022/08/01;11:15:29;1659352529;0.0;0;0;0.0;0.0;0;0;20.4;68.7;62;482;
2022/08/01;11:15:39;1659352539;0.0;0;0;0.0;0.0;0;0;20.4;68.7;62;477;
2022/08/01;11:15:49;1659352549;0.0;0;0;0.0;0.0;0;0;20.4;68.7;62;474;
