Date;Time;Timestamp;PM2_5(ug/m3);AQI(US);AQI(CN);PM10(ug/m3);PM1(ug/m3);Outdoor AQI(US);Outdoor AQI(CN);Temperature(C);Temperature(F);Humidity(%RH);CO2(ppm)
2022/05/31;12:01:44;1653998504;5.0;21;7;6.0;3.0;0;0;21.7;71.1;48;944;
2022/05/31;12:02:31;1653998551;3.0;13;4;4.0;1.0;0;0;22.1;71.8;49;350;
2022/05/31;12:02:41;1653998561;4.0;17;6;5.0;2.0;0;0;22.1;71.8;49;744;
2022/05/31;12:02:51;1653998571;5.0;21;7;7.0;3.0;0;0;22.2;71.9;49;692;
2022/05/31;12:03:01;1653998581;5.0;21;7;6.0;3.0;0;0;22.2;71.9;49;661;
2022/05/31;12:03:11;1653998591;5.0;21;7;6.0;3.0;0;0;22.2;71.9;49;629;
2022/05/31;12:03:21;1653998601;4.0;17;6;4.0;2.0;0;0;22.2;71.9;49;623;
2022/05/31;12:03:31;1653998611;4.0;17;6;4.0;2.0;0;0;22.2;71.9;49;600;
2022/05/31;12:03:41;1653998621;5.0;21;7;5.0;3.0;0;0;22.2;71.9;49;586;
2022/05/31;12:03:51;1653998631;4.0;17;6;4.0;1.0;0;0;22.2;71.9;49;553;
2022/05/31;12:04:01;1653998641;5.0;21;7;5.0;2.0;0;0;22.2;71.9;49;534;
2022/05/31;12:04:11;1653998651;5.0;21;7;5.0;2.0;0;0;22.2;71.9;49;517;
2022/05/31;12:04:21;1653998661;5.0;21;7;5.0;3.0;0;0;22.2;71.9;49;506;
2022/05/31;12:04:31;1653998671;5.0;21;7;5.0;3.0;0;0;22.2;71.9;49;490;
2022/05/31;12:04:41;1653998681;4.0;17;6;4.0;2.0;0;0;22.2;71.9;49;483;
2022/05/31;12:04:51;1653998691;4.0;17;6;4.0;2.0;0;0;22.2;71.9;48;476;
2022/05/31;12:05:01;1653998701;4.0;17;6;4.0;2.0;0;0;22.2;71.9;48;474;
2022/05/31;12:05:11;1653998711;5.0;21;7;5.0;3.0;0;0;22.2;71.9;48;469;
2022/05/31;12:05:21;1653998721;5.0;21;7;5.0;3.0;0;0;22.2;71.9;48;465;
2022/05/31;12:05:31;1653998731;5.0;21;7;5.0;3.0;0;0;22.2;71.9;48;463;
2022/05/31;12:05:41;1653998741;5.0;21;7;5.0;2.0;0;0;22.2;71.9;48;462;
2022/05/31;12:05:51;1653998751;5.0;21;7;5.0;2.0;0;0;22.2;72.0;48;459;
2022/05/31;12:06:01;1653998761;5.0;21;7;5.0;2.0;0;0;22.2;72.0;48;459;
2022/05/31;12:06:11;1653998771;5.0;21;7;5.0;2.0;0;0;22.2;72.0;48;456;
2022/05/31;12:06:21;1653998781;5.0;21;7;5.0;3.0;0;0;22.2;72.0;48;455;
