sensor	date	time	timestamp	pm2_5_ug_m3	aqi_us	aqi_cn	pm10_ug_m3	pm1_ug_m3	outdoor_aqi_us	outdoor_aqi_cn	temperature_c	temperature_f	humidity_percent_rh	co2_ppm	voc_ppb	experimentID	participantID	start_time	stop_time	toilet_type	activity	duration_of_expt
CEN00389	2022-05-31	43721	2022-05-31T12:08:41Z	5	21	7	5	2	0	0	22.3	72.1	48	451	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43731	2022-05-31T12:08:51Z	5	21	7	5	2	0	0	22.3	72.1	48	451	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43741	2022-05-31T12:09:01Z	5	21	7	5	3	0	0	22.3	72.1	48	451	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43751	2022-05-31T12:09:11Z	5	21	7	5	3	0	0	22.3	72.1	48	451	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43761	2022-05-31T12:09:21Z	5	21	7	5	3	0	0	22.3	72.1	48	450	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43771	2022-05-31T12:09:31Z	5	21	7	5	3	0	0	22.3	72.1	48	450	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43781	2022-05-31T12:09:41Z	5	21	7	6	3	0	0	22.3	72.1	48	450	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43791	2022-05-31T12:09:51Z	5	21	7	6	3	0	0	22.3	72.1	48	450	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43801	2022-05-31T12:10:01Z	6	25	9	8	3	0	0	22.3	72.1	48	450	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43811	2022-05-31T12:10:11Z	5	21	7	6	2	0	0	22.3	72.1	48	451	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43821	2022-05-31T12:10:21Z	5	21	7	5	3	0	0	22.3	72.1	48	452	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43831	2022-05-31T12:10:31Z	4	17	6	4	2	0	0	22.3	72.1	48	453	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43841	2022-05-31T12:10:41Z	5	21	7	5	3	0	0	22.3	72.1	48	456	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43851	2022-05-31T12:10:51Z	5	21	7	5	3	0	0	22.3	72.1	48	457	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43861	2022-05-31T12:11:01Z	5	21	7	5	2	0	0	22.3	72.1	48	458	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43871	2022-05-31T12:11:11Z	5	21	7	5	2	0	0	22.3	72.1	48	458	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43881	2022-05-31T12:11:21Z	5	21	7	5	2	0	0	22.3	72.1	48	457	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43891	2022-05-31T12:11:31Z	4	17	6	4	2	0	0	22.3	72.1	48	456	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43901	2022-05-31T12:11:41Z	4	17	6	4	2	0	0	22.3	72.1	48	454	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43911	2022-05-31T12:11:51Z	4	17	6	4	2	0	0	22.3	72.2	48	453	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43921	2022-05-31T12:12:01Z	4	17	6	4	2	0	0	22.3	72.2	48	452	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	43931	2022-05-31T12:12:11Z	4	17	6	4	2	0	0	22.3	72.2	48	451	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	44241	2022-05-31T12:17:21Z	4	17	6	4	2	0	0	22.4	72.3	48	458	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45212	2022-05-31T12:33:32Z	1	4	1	2	0	0	0	21	69.8	46	350	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45222	2022-05-31T12:33:42Z	2	8	3	2	0	0	0	21	69.8	46	482	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45232	2022-05-31T12:33:52Z	2	8	3	2	0	0	0	20.8	69.5	46	474	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45242	2022-05-31T12:34:02Z	2	8	3	2	0	0	0	20.8	69.5	46	462	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45252	2022-05-31T12:34:12Z	2	8	3	2	0	0	0	20.8	69.5	46	503	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45262	2022-05-31T12:34:22Z	2	8	3	2	0	0	0	20.6	69.1	47	504	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45272	2022-05-31T12:34:32Z	2	8	3	2	0	0	0	20.6	69.1	47	510	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45282	2022-05-31T12:34:42Z	2	8	3	2	0	0	0	20.6	69.1	47	518	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45292	2022-05-31T12:34:52Z	2	8	3	2	0	0	0	20.4	68.8	48	548	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45302	2022-05-31T12:35:02Z	1	4	1	1	0	0	0	20.4	68.8	48	563	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45312	2022-05-31T12:35:12Z	1	4	1	1	0	0	0	20.4	68.8	48	574	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45322	2022-05-31T12:35:22Z	2	8	3	2	0	0	0	20.3	68.6	48	575	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45332	2022-05-31T12:35:32Z	1	4	1	1	0	0	0	20.3	68.6	48	566	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45342	2022-05-31T12:35:42Z	1	4	1	1	0	0	0	20.3	68.6	48	559	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45352	2022-05-31T12:35:52Z	1	4	1	1	0	0	0	20.2	68.4	48	548	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45362	2022-05-31T12:36:02Z	1	4	1	1	0	0	0	20.2	68.4	48	539	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45372	2022-05-31T12:36:12Z	2	8	3	2	0	0	0	20.2	68.4	48	526	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45382	2022-05-31T12:36:22Z	2	8	3	2	0	0	0	20.1	68.2	48	520	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45392	2022-05-31T12:36:32Z	1	4	1	1	0	0	0	20.1	68.2	48	512	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45402	2022-05-31T12:36:42Z	1	4	1	1	0	0	0	20.1	68.2	48	505	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45412	2022-05-31T12:36:52Z	1	4	1	1	0	0	0	20.1	68.1	48	495	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45422	2022-05-31T12:37:02Z	1	4	1	1	0	0	0	20.1	68.1	48	491	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45432	2022-05-31T12:37:12Z	1	4	1	1	0	0	0	20.1	68.1	48	485	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45442	2022-05-31T12:37:22Z	1	4	1	1	0	0	0	20	68	48	480	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45452	2022-05-31T12:37:32Z	1	4	1	1	0	0	0	20	68	48	479	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45462	2022-05-31T12:37:42Z	1	4	1	1	0	0	0	20	68	48	475	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45472	2022-05-31T12:37:52Z	1	4	1	1	0	0	0	19.9	67.9	48	473	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45482	2022-05-31T12:38:02Z	1	4	1	1	0	0	0	19.9	67.9	48	467	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45492	2022-05-31T12:38:12Z	1	4	1	1	0	0	0	19.9	67.9	48	464	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45502	2022-05-31T12:38:22Z	1	4	1	1	0	0	0	19.9	67.8	48	458	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45512	2022-05-31T12:38:32Z	1	4	1	1	0	0	0	19.9	67.8	48	457	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45522	2022-05-31T12:38:42Z	1	4	1	1	0	0	0	19.9	67.8	48	456	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45532	2022-05-31T12:38:52Z	1	4	1	1	0	0	0	19.9	67.7	48	453	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45542	2022-05-31T12:39:02Z	1	4	1	1	0	0	0	19.9	67.7	48	449	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45552	2022-05-31T12:39:12Z	1	4	1	1	0	0	0	19.9	67.7	48	447	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45562	2022-05-31T12:39:22Z	1	4	1	1	0	0	0	19.8	67.7	48	445	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45572	2022-05-31T12:39:32Z	1	4	1	1	0	0	0	19.8	67.7	48	444	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45582	2022-05-31T12:39:42Z	1	4	1	1	0	0	0	19.8	67.7	48	442	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45592	2022-05-31T12:39:52Z	1	4	1	1	0	0	0	19.8	67.6	48	441	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	45602	2022-05-31T12:40:02Z	1	4	1	1	0	0	0	19.8	67.6	48	440	NA	NA	NA	NA	NA	NA	NA	NA
